cluster_id	protein_count	taxon_count	GO_domain_ids	GO_domain_description	IPR_domain_ids	IPR_domain_description	Pfam_domain_ids	Pfam_domain_description
OG0000232	31	20	GO:0016491	oxidoreductase activity 	IPR015590	Domain Aldehyde dehydrogenase domain	PF00171	Aldehyde dehydrogenase family
OG0000234	31	20	None	None	None	None	None	None
OG0000247	30	20	GO:0016614;GO:0050660	oxidoreductase activity, acting on CH-OH group of donors ;flavin adenine dinucleotide binding 	IPR007867;IPR000172	Domain Glucose-methanol-choline oxidoreductase, C-terminal;Domain Glucose-methanol-choline oxidoreductase, N-terminal	PF05199;PF00732	GMC oxidoreductase;GMC oxidoreductase
OG0000276	29	20	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000318	28	20	GO:0016491	oxidoreductase activity 	IPR015590	Domain Aldehyde dehydrogenase domain	PF00171	Aldehyde dehydrogenase family
OG0000347	27	20	None	None	IPR013097	Domain Stress responsive alpha-beta barrel	PF07876	Stress responsive A/B Barrel Domain
OG0000351	27	20	None	None	IPR021858	Family Fungal transcription factor	PF11951	Fungal specific transcription factor domain
OG0000376	26	20	GO:0003824;GO:0005506;GO:0006725;GO:0008199;GO:0009712;GO:0018576	catalytic activity ;iron ion binding ;N/A;ferric iron binding ;catechol-containing compound metabolic process ;catechol 1,2-dioxygenase activity 	IPR007535;IPR000627	Domain Catechol dioxygenase, N-terminal;Domain Intradiol ring-cleavage dioxygenase, C-terminal	PF04444;PF00775	Catechol dioxygenase N terminus;Dioxygenase
OG0000439	25	20	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups 	IPR020616;IPR020617	Domain Thiolase, N-terminal;Domain Thiolase, C-terminal	PF00108;PF02803	Thiolase, N-terminal domain;Thiolase, C-terminal domain
OG0000442	25	20	None	None	IPR008030	Domain NmrA-like domain	PF05368	NmrA-like family
OG0000448	25	20	None	None	IPR013149;IPR013154	Domain Alcohol dehydrogenase-like, C-terminal;Domain Alcohol dehydrogenase-like, N-terminal	PF00107;PF08240	Zinc-binding dehydrogenase;Alcohol dehydrogenase GroES-like domain
OG0000462	25	20	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000463	25	20	None	None	None	None	None	None
OG0000489	25	20	GO:0016836	hydro-lyase activity 	IPR000581	Family Dihydroxy-acid/6-phosphogluconate dehydratase	PF00920	Dehydratase family
OG0000515	24	20	GO:0035673	oligopeptide transmembrane transporter activity 	IPR004813	Family Oligopeptide transporter, OPT superfamily	PF03169	OPT oligopeptide transporter protein
OG0000550	24	20	GO:0018580	nitronate monooxygenase activity 	IPR004136	Domain Nitronate monooxygenase	PF03060	Nitronate monooxygenase
OG0000671	24	20	None	None	IPR013120;IPR000873;IPR009081	Domain Fatty acyl-coenzyme A reductase-like, NAD-binding domain;Domain AMP-dependent synthetase/ligase domain;Domain Phosphopantetheine binding ACP domain	PF07993;PF00501;PF00550	Male sterility protein;AMP-binding enzyme;Phosphopantetheine attachment site
OG0000727	24	20	GO:0004499;GO:0050660;GO:0050661	N,N-dimethylaniline monooxygenase activity ;flavin adenine dinucleotide binding ;NADP binding 	IPR020946	Family Flavin monooxygenase-like	PF13450;PF00743	NAD(P)-binding Rossmann-like domain;Flavin-binding monooxygenase-like
OG0000747	24	20	None	None	None	None	None	None
OG0000834	24	20	GO:0051287	NAD binding 	IPR006140	Domain D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
OG0001809	23	20	GO:0020037;GO:0016491	heme binding ;oxidoreductase activity 	IPR000971;IPR001433	Domain Globin;Domain Oxidoreductase FAD/NAD(P)-binding	PF00042;PF00175	Globin;Oxidoreductase NAD-binding domain 
OG0002207	23	20	GO:0008270;GO:0000981;GO:0006355;GO:0003677;GO:0006351	zinc ion binding ;DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription ;DNA binding ;DNA-templated transcription 	IPR001138;IPR007219	Domain Zn(2)Cys(6) fungal-type DNA-binding domain;Domain Transcription factor domain, fungi	PF00172;PF04082	Fungal Zn(2)-Cys(6) binuclear cluster domain;Fungal specific transcription factor domain 
OG0002595	23	20	None	None	IPR023631;IPR000868	Domain Amidase signature domain;Domain Isochorismatase-like	PF01425;PF00857	Amidase;Isochorismatase family
OG0002663	23	20	None	None	None	None	None	None
OG0003218	23	20	GO:0071949	FAD binding 	IPR002938	Domain FAD-binding domain	PF01494	FAD binding domain
OG0005389	23	20	GO:0015079;GO:0016020;GO:0071805	potassium ion transmembrane transporter activity ;membrane ;potassium ion transmembrane transport 	IPR003855	Family Potassium transporter	PF02705	K+ potassium transporter integral membrane domain
OG0005555	22	20	GO:0016788	hydrolase activity, acting on ester bonds 	IPR007312	Family Phosphoesterase	PF04185	Phosphoesterase family
OG0005615	22	20	None	None	IPR001932	Domain PPM-type phosphatase-like domain	PF00481	Protein phosphatase 2C
OG0005676	22	20	None	None	None	None	PF02458	Transferase family
OG0005701	22	20	None	None	None	None	None	None
OG0005740	22	20	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0005752	22	20	None	None	IPR000073	Domain Alpha/beta hydrolase fold-1	PF12697	Alpha/beta hydrolase family
OG0005760	22	20	None	None	IPR008030	Domain NmrA-like domain	PF05368	NmrA-like family
OG0005922	22	20	GO:0005515	protein binding 	IPR001810	Domain F-box domain	PF00646	F-box domain
OG0005924	22	20	None	None	None	None	None	None
OG0005925	22	20	GO:0003871;GO:0008270;GO:0009086	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity ;zinc ion binding ;methionine biosynthetic process 	IPR002629	Domain Cobalamin-independent methionine synthase MetE, C-terminal/archaeal	PF01717	Cobalamin-independent synthase, Catalytic domain
OG0005967	22	20	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0006062	21	20	GO:0016491	oxidoreductase activity 	IPR003819	Domain TauD/TfdA-like domain	PF02668	Taurine catabolism dioxygenase TauD, TfdA family
OG0006063	21	20	GO:0008484	sulfuric ester hydrolase activity 	IPR000917	Domain Sulfatase, N-terminal	PF00884	Sulfatase
OG0006073	21	20	None	None	None	None	None	None
OG0006075	21	20	None	None	IPR013658	Domain SMP-30/Gluconolactonase/LRE-like region	PF08450	SMP-30/Gluconolactonase/LRE-like region
OG0006078	21	20	None	None	IPR023210	Domain NADP-dependent oxidoreductase domain	PF00248	Aldo/keto reductase family
OG0006083	21	20	None	None	None	None	None	None
OG0006089	21	20	None	None	IPR021986	Family Spherulation-specific family 4	PF12138	Spherulation-specific family 4
OG0006091	21	20	GO:0050661;GO:0051287	NADP binding ;NAD binding 	IPR029154;IPR006115	Domain 3-hydroxyisobutyrate dehydrogenase-like, NAD-binding domain;Domain 6-phosphogluconate dehydrogenase, NADP-binding	PF14833;PF03446	NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase;NAD binding domain of 6-phosphogluconate dehydrogenase
OG0006092	21	20	GO:0005975;GO:0008270;GO:0016832	carbohydrate metabolic process ;zinc ion binding ;aldehyde-lyase activity 	IPR000771	Family Fructose-bisphosphate aldolase, class-II	PF01116	Fructose-bisphosphate aldolase class-II
OG0006095	21	20	None	None	None	None	None	None
OG0006097	21	20	None	None	None	None	None	None
OG0006098	21	20	None	None	IPR008427	Domain Extracellular membrane protein, CFEM domain	PF05730	CFEM domain
OG0006099	21	20	GO:0003824	catalytic activity 	IPR001544	Family Aminotransferase class IV	PF01063	Amino-transferase class IV
OG0006106	21	20	None	None	IPR031818	Family Protein Hri1	PF16815	Protein HRI1
OG0006109	21	20	None	None	IPR023210	Domain NADP-dependent oxidoreductase domain	PF00248	Aldo/keto reductase family
OG0006115	21	20	GO:0016020	membrane 	IPR000791	Family Acetate transporter GPR1/Ato2/SatP-like	PF01184	GPR1/FUN34/yaaH family
OG0006118	21	20	None	None	IPR029036;IPR028939	Domain Pyrroline-5-carboxylate reductase, dimerisation domain;Domain Pyrroline-5-carboxylate reductase, catalytic, N-terminal	PF14748;PF03807	Pyrroline-5-carboxylate reductase dimerisation;NADP oxidoreductase coenzyme F420-dependent
OG0006119	21	20	None	None	None	None	None	None
OG0006129	21	20	GO:0005524;GO:0016887	ATP binding ;ATP hydrolysis activity 	IPR003959	Domain ATPase, AAA-type, core	PF00004	ATPase family associated with various cellular activities (AAA)
OG0006131	21	20	None	None	None	None	None	None
OG0006142	21	20	GO:0004553;GO:0005975	hydrolase activity, hydrolyzing O-glycosyl compounds ;carbohydrate metabolic process 	IPR006710	Family Glycoside hydrolase, family 43	PF04616	Glycosyl hydrolases family 43
OG0006146	21	20	None	None	None	None	None	None
OG0006147	21	20	None	None	IPR013341;IPR029065	Domain Mandelate racemase/muconate lactonizing enzyme, N-terminal domain;Domain Enolase C-terminal domain-like	PF02746;PF13378	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain;Enolase C-terminal domain-like
OG0006151	21	20	None	None	IPR013149;IPR013154	Domain Alcohol dehydrogenase-like, C-terminal;Domain Alcohol dehydrogenase-like, N-terminal	PF00107;PF08240	Zinc-binding dehydrogenase;Alcohol dehydrogenase GroES-like domain
OG0006152	21	20	None	None	IPR023631	Domain Amidase signature domain	PF01425	Amidase
OG0006157	21	20	GO:0004096;GO:0020037	catalase activity ;heme binding 	IPR011614	Domain Catalase core domain	PF00199	Catalase
OG0006158	21	20	None	None	IPR021858	Family Fungal transcription factor	PF11951	Fungal specific transcription factor domain
OG0006159	21	20	GO:0004089;GO:0008270	carbonate dehydratase activity ;zinc ion binding 	IPR001765	Family Carbonic anhydrase	PF00484	Carbonic anhydrase
OG0006160	21	20	GO:0003824	catalytic activity 	IPR005000	Domain HpcH/HpaI aldolase/citrate lyase domain	PF03328	HpcH/HpaI aldolase/citrate lyase family
OG0006170	21	20	GO:0003677;GO:0006351;GO:0008270	DNA binding ;DNA-templated transcription ;zinc ion binding 	IPR007219	Domain Transcription factor domain, fungi	PF04082	Fungal specific transcription factor domain 
OG0006173	21	20	None	None	None	None	None	None
OG0006174	21	20	None	None	None	None	None	None
OG0006182	21	20	GO:0004497;GO:0005506;GO:0016705;GO:0020037	monooxygenase activity ;iron ion binding ;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ;heme binding 	IPR001128	Family Cytochrome P450	PF00067	Cytochrome P450
OG0006187	21	20	None	None	None	None	None	None
OG0006204	21	20	None	None	IPR024747	Family Pyridoxamine 5'-phosphate oxidase-related	PF12900	Pyridoxamine 5'-phosphate oxidase
OG0006210	21	20	GO:0043386	mycotoxin biosynthetic process 	IPR021765	Family Mycotoxin biosynthesis protein UstYa-like	PF11807	Mycotoxin biosynthesis protein UstYa
OG0006220	21	20	None	None	IPR023631	Domain Amidase signature domain	PF01425	Amidase
OG0006227	21	20	GO:0004553;GO:0005975;GO:0004565;GO:0009341	hydrolase activity, hydrolyzing O-glycosyl compounds ;carbohydrate metabolic process ;beta-galactosidase activity ;beta-galactosidase complex 	IPR006103;IPR006102;IPR004199;IPR006104;IPR032312	Domain Glycoside hydrolase family 2, catalytic domain;Domain Glycoside hydrolase, family 2, immunoglobulin-like beta-sandwich;Domain Beta galactosidase small chain/ domain 5;Domain Glycosyl hydrolases family 2, sugar binding domain;Domain Beta-galactosidase, domain 4	PF02836;PF00703;PF02929;PF02837;PF16353	Glycosyl hydrolases family 2, TIM barrel domain;Glycosyl hydrolases family 2;Beta galactosidase small chain;Glycosyl hydrolases family 2, sugar binding domain;Beta-galactosidase, domain 4
OG0006232	21	20	None	None	IPR006068;IPR004014	Domain Cation-transporting P-type ATPase, C-terminal;Domain Cation-transporting P-type ATPase, N-terminal	PF00702;PF00689;PF00122;PF00690;PF13246	haloacid dehalogenase-like hydrolase;Cation transporting ATPase, C-terminus;E1-E2 ATPase;Cation transporter/ATPase, N-terminus;Cation transport ATPase (P-type)
OG0006237	21	20	GO:0004497;GO:0005506;GO:0016705;GO:0020037	monooxygenase activity ;iron ion binding ;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ;heme binding 	IPR001128	Family Cytochrome P450	PF00067	Cytochrome P450
OG0006244	21	20	None	None	IPR037401	Domain SnoaL-like domain	PF13577	SnoaL-like domain
OG0006260	21	20	GO:0000166	nucleotide binding 	IPR000683;IPR004104	Domain Gfo/Idh/MocA-like oxidoreductase, N-terminal;Domain Gfo/Idh/MocA-like oxidoreductase, C-terminal	PF01408;PF02894	Oxidoreductase family, NAD-binding Rossmann fold;Oxidoreductase family, C-terminal alpha/beta domain
OG0006261	21	20	None	None	None	None	None	None
OG0006263	21	20	None	None	IPR044861;IPR026992	Domain Isopenicillin N synthase-like, Fe(2+) 2OG dioxygenase domain;Domain Non-haem dioxygenase N-terminal domain	PF03171;PF14226	2OG-Fe(II) oxygenase superfamily;non-haem dioxygenase in morphine synthesis N-terminal
OG0006269	21	20	None	None	None	None	None	None
OG0006270	21	20	GO:0004650;GO:0005975	polygalacturonase activity ;carbohydrate metabolic process 	IPR000743	Family Glycoside hydrolase, family 28	PF00295	Glycosyl hydrolases family 28
OG0006272	21	20	None	None	IPR006683	Domain Thioesterase domain	PF03061	Thioesterase superfamily
OG0006273	21	20	GO:0005515	protein binding 	IPR001810	Domain F-box domain	PF00646	F-box domain
OG0006278	21	20	GO:0000981;GO:0006355;GO:0008270	DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription ;zinc ion binding 	IPR021858;IPR001138	Family Fungal transcription factor;Domain Zn(2)Cys(6) fungal-type DNA-binding domain	PF11951;PF00172	Fungal specific transcription factor domain;Fungal Zn(2)-Cys(6) binuclear cluster domain
OG0006283	21	20	None	None	IPR021889	Family Protein of unknown function DUF3500	PF12006	Protein of unknown function (DUF3500)
OG0006287	21	20	None	None	None	None	None	None
OG0006293	21	20	GO:0008168	methyltransferase activity 	IPR001525	Family C-5 cytosine methyltransferase	PF00145	C-5 cytosine-specific DNA methylase
OG0006305	21	20	GO:0016627;GO:0050660	oxidoreductase activity, acting on the CH-CH group of donors ;flavin adenine dinucleotide binding 	IPR009075;IPR013786;IPR006091	Domain Acyl-CoA dehydrogenase/oxidase, C-terminal;Domain Acyl-CoA dehydrogenase/oxidase, N-terminal;Domain Acyl-CoA oxidase/dehydrogenase, middle domain	PF00441;PF02771;PF02770	Acyl-CoA dehydrogenase, C-terminal domain;Acyl-CoA dehydrogenase, N-terminal domain;Acyl-CoA dehydrogenase, middle domain
OG0006307	21	20	None	None	None	None	None	None
OG0006308	21	20	GO:0043531	ADP binding 	IPR002182	Domain NB-ARC	PF13424;PF00931	Tetratricopeptide repeat;NB-ARC domain
OG0006323	20	20	GO:0004553;GO:0005975	hydrolase activity, hydrolyzing O-glycosyl compounds ;carbohydrate metabolic process 	IPR026891;IPR002772;IPR011658;IPR001764	Domain Fibronectin type III-like domain;Domain Glycoside hydrolase family 3 C-terminal domain;Domain PA14 domain;Domain Glycoside hydrolase, family 3, N-terminal	PF14310;PF01915;PF07691;PF00933	Fibronectin type III-like domain;Glycosyl hydrolase family 3 C-terminal domain;PA14 domain;Glycosyl hydrolase family 3 N terminal domain
OG0006325	20	20	None	None	None	None	None	None
OG0006326	20	20	None	None	None	None	None	None
OG0006327	20	20	None	None	IPR002347	Family Short-chain dehydrogenase/reductase SDR	PF00106	short chain dehydrogenase
OG0006328	20	20	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0006329	20	20	None	None	None	None	None	None
OG0006330	20	20	None	None	IPR015920	Domain Cellobiose dehydrogenase, cytochrome domain	PF16010	Cytochrome domain of cellobiose dehydrogenase
OG0006331	20	20	GO:0005524;GO:0006040;GO:0009254;GO:0016773	ATP binding ;amino sugar metabolic process ;peptidoglycan turnover ;phosphotransferase activity, alcohol group as acceptor 	IPR005338	Family Anhydro-N-acetylmuramic acid kinase	PF03702	Anhydro-N-acetylmuramic acid kinase
OG0006332	20	20	None	None	IPR006683	Domain Thioesterase domain	PF03061	Thioesterase superfamily
OG0006333	20	20	None	None	IPR002018	Domain Carboxylesterase, type B	PF00135	Carboxylesterase family
OG0006335	20	20	None	None	None	None	None	None
OG0006337	20	20	None	None	IPR002347	Family Short-chain dehydrogenase/reductase SDR	PF00106;PF13561	short chain dehydrogenase;Enoyl-(Acyl carrier protein) reductase
OG0006339	20	20	None	None	None	None	PF13668	Ferritin-like domain
OG0006340	20	20	None	None	None	None	None	None
OG0006341	20	20	GO:0005515	protein binding 	IPR000210	Domain BTB/POZ domain	PF00651	BTB/POZ domain
OG0006343	20	20	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR002293	Family Amino acid/polyamine transporter I	PF13520	Amino acid permease
OG0006344	20	20	GO:0043386	mycotoxin biosynthetic process 	IPR021765	Family Mycotoxin biosynthesis protein UstYa-like	PF11807	Mycotoxin biosynthesis protein UstYa
OG0006345	20	20	None	None	IPR007484	Domain Peptidase M28	PF04389	Peptidase family M28
OG0006347	20	20	GO:0016491;GO:0050660	oxidoreductase activity ;flavin adenine dinucleotide binding 	IPR012951;IPR006094	Domain Berberine/berberine-like;Domain FAD linked oxidase, N-terminal	PF08031;PF01565	Berberine and berberine like ;FAD binding domain 
OG0006349	20	20	None	None	IPR006598	Domain Glycosyl transferase CAP10 domain	PF05686	Glycosyl transferase family 90
OG0006351	20	20	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0006352	20	20	None	None	IPR010856	Family Gig2-like	PF07350	Gig2-like
OG0006353	20	20	GO:0004784;GO:0006801;GO:0046872	superoxide dismutase activity ;superoxide metabolic process ;metal ion binding 	IPR019832;IPR019831	Domain Manganese/iron superoxide dismutase, C-terminal;Domain Manganese/iron superoxide dismutase, N-terminal	PF02777;PF00081	Iron/manganese superoxide dismutases, C-terminal domain;Iron/manganese superoxide dismutases, alpha-hairpin domain
OG0006354	20	20	GO:0008236;GO:0006508	serine-type peptidase activity ;proteolysis 	IPR015366;IPR000209	Domain Peptidase S53, activation domain;Domain Peptidase S8/S53 domain	PF09286;PF00082	Pro-kumamolisin, activation domain ;Subtilase family
OG0006355	20	20	None	None	IPR018815	Family Increased loss of mitochondrial DNA protein 1	PF10311	Increased loss of mitochondrial DNA protein 1
OG0006356	20	20	None	None	IPR011058	Domain Cyanovirin-N	PF08881	CVNH domain
OG0006357	20	20	GO:0016829	lyase activity 	IPR002220	Family DapA-like	PF00701	Dihydrodipicolinate synthetase family
OG0006360	20	20	None	None	None	None	None	None
OG0006361	20	20	None	None	None	None	None	None
OG0006363	20	20	None	None	None	None	None	None
OG0006364	20	20	None	None	None	None	None	None
OG0006366	20	20	GO:0016787	hydrolase activity 	IPR000246	Family Peptidase T2, asparaginase 2	PF01112	Asparaginase
OG0006367	20	20	None	None	None	None	None	None
OG0006368	20	20	GO:0008171	O-methyltransferase activity 	IPR002935	Family Class I-like SAM-dependent O-methyltransferase	PF01596	O-methyltransferase
OG0006369	20	20	None	None	None	None	None	None
OG0006370	20	20	None	None	None	None	None	None
OG0006371	20	20	None	None	IPR002539	Domain MaoC-like dehydratase domain	PF01575	MaoC like domain
OG0006372	20	20	GO:0000166	nucleotide binding 	IPR000683	Domain Gfo/Idh/MocA-like oxidoreductase, N-terminal	PF01408	Oxidoreductase family, NAD-binding Rossmann fold
OG0006373	20	20	None	None	IPR023631	Domain Amidase signature domain	PF01425	Amidase
OG0006374	20	20	GO:0003824;GO:1990817	catalytic activity ;poly(A) RNA polymerase activity 	IPR007012;IPR040459;IPR005135	Domain Poly(A) polymerase, central domain;Domain MJ1316 RNA cyclic group end recognition domain;Domain Endonuclease/exonuclease/phosphatase	PF04928;PF13563;PF04457;PF03372	Poly(A) polymerase central domain;2'-5' RNA ligase superfamily;MJ1316 RNA cyclic group end recognition domain;Endonuclease/Exonuclease/phosphatase family
OG0006375	20	20	None	None	None	None	PF13854	Kelch motif
OG0006376	20	20	None	None	None	None	None	None
OG0006377	20	20	GO:0051287	NAD binding 	IPR006140	Domain D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
OG0006380	20	20	GO:0004497;GO:0005506;GO:0016705;GO:0020037	monooxygenase activity ;iron ion binding ;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ;heme binding 	IPR001128	Family Cytochrome P450	PF00067	Cytochrome P450
OG0006381	20	20	None	None	None	None	None	None
OG0006382	20	20	None	None	None	None	None	None
OG0006383	20	20	GO:0016491	oxidoreductase activity 	IPR000262;IPR001199	Domain FMN-dependent dehydrogenase;Domain Cytochrome b5-like heme/steroid binding domain	PF01070;PF00173	FMN-dependent dehydrogenase;Cytochrome b5-like Heme/Steroid binding domain
OG0006385	20	20	None	None	IPR000073	Domain Alpha/beta hydrolase fold-1	PF00561	alpha/beta hydrolase fold
OG0006387	20	20	GO:0003824;GO:0005506;GO:0006725;GO:0008199;GO:0009712;GO:0018576	catalytic activity ;iron ion binding ;N/A;ferric iron binding ;catechol-containing compound metabolic process ;catechol 1,2-dioxygenase activity 	IPR000627;IPR007535	Domain Intradiol ring-cleavage dioxygenase, C-terminal;Domain Catechol dioxygenase, N-terminal	PF00775;PF04444	Dioxygenase;Catechol dioxygenase N terminus
OG0006388	20	20	None	None	IPR022124	Repeat Protein of unknown function DUF3659	PF12396	Protein of unknown function (DUF3659) 
OG0006389	20	20	None	None	None	None	None	None
OG0006392	20	20	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0006393	20	20	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0006395	20	20	GO:0006508;GO:0008236	proteolysis ;serine-type peptidase activity 	IPR001375	Domain Peptidase S9, prolyl oligopeptidase, catalytic domain	PF00326	Prolyl oligopeptidase family
OG0006396	20	20	None	None	None	None	None	None
OG0006397	20	20	None	None	IPR022025	Family Putative amidoligase enzyme	PF12224	Putative amidoligase enzyme
OG0006399	20	20	None	None	None	None	None	None
OG0006400	20	20	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0006401	20	20	None	None	None	None	None	None
OG0006403	20	20	None	None	None	None	None	None
OG0006407	20	20	None	None	None	None	None	None
OG0006408	20	20	None	None	None	None	PF13489	Methyltransferase domain
OG0006410	20	20	GO:0004386	helicase activity 	IPR041677;IPR041679	Domain DNA2/NAM7 helicase, helicase domain;Domain DNA2/NAM7 helicase-like, C-terminal	PF13086;PF13087	AAA domain;AAA domain
OG0006411	20	20	GO:0008236	serine-type peptidase activity 	IPR015366	Domain Peptidase S53, activation domain	PF09286	Pro-kumamolisin, activation domain 
OG0006412	20	20	None	None	IPR023631	Domain Amidase signature domain	PF01425	Amidase
OG0006413	20	20	None	None	None	None	None	None
OG0006416	20	20	None	None	None	None	None	None
OG0006417	20	20	None	None	None	None	None	None
OG0006419	20	20	None	None	IPR013149	Domain Alcohol dehydrogenase-like, C-terminal	PF00107	Zinc-binding dehydrogenase
OG0006421	20	20	None	None	IPR001466	Domain Beta-lactamase-related	PF00144	Beta-lactamase
OG0006422	20	20	GO:0005515	protein binding 	IPR000210	Domain BTB/POZ domain	PF00651	BTB/POZ domain
