cluster_id	protein_count	taxon_count	GO_domain_ids	GO_domain_description	IPR_domain_ids	IPR_domain_description	Pfam_domain_ids	Pfam_domain_description
OG0000011	71	19	None	None	IPR003615	Domain HNH nuclease	PF13391	HNH endonuclease
OG0000012	70	18	None	None	None	None	None	None
OG0000013	70	19	None	None	IPR003615	Domain HNH nuclease	PF13391	HNH endonuclease
OG0000014	67	23	None	None	IPR029065	Domain Enolase C-terminal domain-like	PF13378	Enolase C-terminal domain-like
OG0000015	65	19	GO:0004336;GO:0006683	galactosylceramidase activity ;galactosylceramide catabolic process 	IPR033452;IPR001286	Domain Glycosyl hydrolase family 30, beta sandwich domain;Family Glycoside hydrolase, family 59	PF17189;PF02057	Glycosyl hydrolase family 30 beta sandwich domain;Glycosyl hydrolase family 59
OG0000016	65	18	GO:0004497;GO:0005506;GO:0016705;GO:0020037	monooxygenase activity ;iron ion binding ;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ;heme binding 	IPR001128	Family Cytochrome P450	PF00067	Cytochrome P450
OG0000017	65	17	GO:0004672;GO:0006468;GO:0005524	protein kinase activity ;protein phosphorylation ;ATP binding 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000018	64	18	None	None	IPR035396;IPR013737;IPR008902;IPR035398	Domain Alpha-L-rhamnosidase, six-hairpin glycosidase domain;Domain Bacterial alpha-L-rhamnosidase N-terminal;Domain Alpha-L-rhamnosidase, concanavalin-like domain;Domain Alpha-L-rhamnosidase C-terminal domain	PF17389;PF08531;PF05592;PF17390	Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain;Alpha-L-rhamnosidase N-terminal domain;Bacterial alpha-L-rhamnosidase concanavalin-like domain;Bacterial alpha-L-rhamnosidase C-terminal domain
OG0000019	64	19	GO:0003824;GO:0016787	catalytic activity ;hydrolase activity 	IPR003692;IPR002821;IPR008040	Domain Hydantoinase B/oxoprolinase;Domain Hydantoinase A/oxoprolinase;Domain Hydantoinase/oxoprolinase, N-terminal	PF02538;PF01968;PF05378;PF19278	Hydantoinase B/oxoprolinase;Hydantoinase/oxoprolinase;Hydantoinase/oxoprolinase N-terminal region;Hydantoinase/oxoprolinase C-terminal domain
OG0000020	64	18	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000021	62	15	GO:0004553;GO:0005975	hydrolase activity, hydrolyzing O-glycosyl compounds ;carbohydrate metabolic process 	IPR002772;IPR001764;IPR026891;IPR011658	Domain Glycoside hydrolase family 3 C-terminal domain;Domain Glycoside hydrolase, family 3, N-terminal;Domain Fibronectin type III-like domain;Domain PA14 domain	PF01915;PF00933;PF14310;PF07691	Glycosyl hydrolase family 3 C-terminal domain;Glycosyl hydrolase family 3 N terminal domain;Fibronectin type III-like domain;PA14 domain
OG0000022	61	18	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000023	61	20	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000024	60	22	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen 	IPR011251	Domain Luciferase-like domain	PF00296	Luciferase-like monooxygenase
OG0000025	60	22	GO:0016491	oxidoreductase activity 	IPR015590	Domain Aldehyde dehydrogenase domain	PF00171	Aldehyde dehydrogenase family
OG0000026	60	21	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000027	60	22	None	None	IPR045063;IPR000375	Domain Dynamin, N-terminal;Domain Dynamin stalk domain	PF00350;PF01031	Dynamin family;Dynamin central region
OG0000028	59	13	None	None	None	None	None	None
OG0000029	59	20	None	None	None	None	None	None
OG0000030	58	18	GO:0008484	sulfuric ester hydrolase activity 	IPR000917	Domain Sulfatase, N-terminal	PF00884	Sulfatase
OG0000031	57	18	None	None	None	None	None	None
OG0000032	57	20	None	None	IPR002575	Domain Aminoglycoside phosphotransferase	PF01636	Phosphotransferase enzyme family
OG0000033	56	17	GO:0005515	protein binding 	IPR002110	Repeat Ankyrin repeat	None	None
OG0000034	55	19	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR010573	Family Major facilitator transporter Str1/Tri12-like	PF06609	Fungal trichothecene efflux pump (TRI12)
OG0000035	55	23	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000036	54	22	GO:0016020;GO:0055085	membrane ;transmembrane transport 	IPR004841	Domain Amino acid permease/ SLC12A domain	PF00324	Amino acid permease
OG0000037	54	20	GO:0016491;GO:0050660	oxidoreductase activity ;flavin adenine dinucleotide binding 	IPR012951;IPR006094	Domain Berberine/berberine-like;Domain FAD linked oxidase, N-terminal	PF08031;PF01565	Berberine and berberine like ;FAD binding domain 
OG0000038	54	23	GO:0005515	protein binding 	IPR001810	Domain F-box domain	PF00646	F-box domain
OG0000039	53	23	GO:0005524;GO:0006520;GO:0016597;GO:0016743	ATP binding ;amino acid metabolic process ;amino acid binding ;carboxyl- or carbamoyltransferase activity 	IPR005479;IPR002474;IPR017926;IPR006132;IPR006131;IPR011607;IPR005480	Domain Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain;Domain Carbamoyl-phosphate synthase small subunit, N-terminal domain;Domain Glutamine amidotransferase;Domain Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding;Domain Aspartate/ornithine carbamoyltransferase, Asp/Orn-binding domain;Domain Methylglyoxal synthase-like domain;Domain Carbamoyl-phosphate synthetase, large subunit oligomerisation domain	PF02786;PF00988;PF00117;PF02729;PF00185;PF02142;PF02787	Carbamoyl-phosphate synthase L chain, ATP binding domain;Carbamoyl-phosphate synthase small chain, CPSase domain;Glutamine amidotransferase class-I;Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain;Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain;MGS-like domain;Carbamoyl-phosphate synthetase large chain, oligomerisation domain
OG0000040	53	20	None	None	IPR002347	Family Short-chain dehydrogenase/reductase SDR	PF00106	short chain dehydrogenase
OG0000041	53	19	GO:0016787	hydrolase activity 	IPR000675	Family Cutinase/acetylxylan esterase	PF01083	Cutinase
OG0000042	53	20	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000043	52	23	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000044	52	16	None	None	None	None	None	None
OG0000045	51	23	None	None	IPR046452;IPR046451	Domain Homogentisate 1,2-dioxygenase, N-terminal domain;Domain Homogentisate 1,2-dioxygenase, C-terminal domain	PF20510;PF04209	Homogentisate 1,2-dioxygenase N-terminal;Homogentisate 1,2-dioxygenase C-terminal
OG0000046	51	23	GO:0016787	hydrolase activity 	IPR011650;IPR002933	Domain Peptidase M20, dimerisation domain;Family Peptidase M20	PF07687;PF01546	Peptidase dimerisation domain;Peptidase family M20/M25/M40
OG0000047	50	19	None	None	None	None	None	None
OG0000048	49	16	None	None	IPR023631	Domain Amidase signature domain	PF01425	Amidase
OG0000049	49	18	GO:0005975	carbohydrate metabolic process 	IPR001223;IPR029226;IPR018392	Domain Glycoside hydrolase family 18, catalytic domain;Domain Ecp2 effector protein-like;Domain LysM domain	PF00704;PF14856;PF01476	Glycosyl hydrolases family 18;Pathogen effector; putative necrosis-inducing factor;LysM domain
OG0000050	49	20	GO:0004499;GO:0050660;GO:0050661	N,N-dimethylaniline monooxygenase activity ;flavin adenine dinucleotide binding ;NADP binding 	IPR020946	Family Flavin monooxygenase-like	PF00743	Flavin-binding monooxygenase-like
OG0000051	49	18	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000052	49	23	None	None	IPR023210	Domain NADP-dependent oxidoreductase domain	PF00248	Aldo/keto reductase family
OG0000053	49	14	None	None	IPR003615	Domain HNH nuclease	PF13391	HNH endonuclease
OG0000054	48	20	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR010573	Family Major facilitator transporter Str1/Tri12-like	PF06609	Fungal trichothecene efflux pump (TRI12)
OG0000055	48	19	None	None	IPR002018	Domain Carboxylesterase, type B	PF00135	Carboxylesterase family
OG0000056	48	17	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000057	48	17	GO:0016491	oxidoreductase activity 	IPR015590	Domain Aldehyde dehydrogenase domain	PF00171	Aldehyde dehydrogenase family
OG0000058	47	17	GO:0005515	protein binding 	IPR002110	Repeat Ankyrin repeat	PF12796	Ankyrin repeats (3 copies)
OG0000059	47	23	GO:0016787	hydrolase activity 	IPR010318;IPR008040;IPR002821	Domain DUF917, N-terminal domain;Domain Hydantoinase/oxoprolinase, N-terminal;Domain Hydantoinase A/oxoprolinase	PF06032;PF05378;PF01968	Protein of unknown function (DUF917), N-terminal;Hydantoinase/oxoprolinase N-terminal region;Hydantoinase/oxoprolinase
OG0000060	47	19	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000061	47	18	None	None	None	None	None	None
OG0000062	46	20	GO:0003824;GO:0004334;GO:0009072	catalytic activity ;fumarylacetoacetase activity ;aromatic amino acid metabolic process 	IPR015377;IPR011234	Domain Fumarylacetoacetase, N-terminal;Domain Fumarylacetoacetase-like, C-terminal	PF09298;PF01557	Fumarylacetoacetase N-terminal;Fumarylacetoacetate (FAA) hydrolase family
OG0000063	46	23	None	None	None	None	None	None
OG0000064	46	15	None	None	None	None	None	None
OG0000065	46	23	GO:0004499;GO:0050660;GO:0050661	N,N-dimethylaniline monooxygenase activity ;flavin adenine dinucleotide binding ;NADP binding 	IPR020946	Family Flavin monooxygenase-like	PF00743	Flavin-binding monooxygenase-like
OG0000066	46	23	None	None	IPR035425	Domain CENP-T/Histone H4, histone fold	PF15511	Centromere kinetochore component CENP-T histone fold
OG0000067	46	20	GO:0005507;GO:0016491	copper ion binding ;oxidoreductase activity 	IPR011706;IPR011707;IPR001117	Domain Multicopper oxidase, C-terminal;Domain Multicopper oxidase-like, N-terminal;Domain Multicopper oxidase, second cupredoxin domain	PF07731;PF07732;PF00394	Multicopper oxidase;Multicopper oxidase;Multicopper oxidase
OG0000068	46	17	None	None	IPR033123	Domain Glycosyl hydrolases family 11 (GH11) domain	PF00457	Glycosyl hydrolases family 11
OG0000069	45	23	None	None	IPR013097	Domain Stress responsive alpha-beta barrel	PF07876	Stress responsive A/B Barrel Domain
OG0000070	45	14	GO:0005515	protein binding 	IPR000210	Domain BTB/POZ domain	PF00651	BTB/POZ domain
OG0000071	45	18	None	None	IPR025213	Family Kinetochore Sim4 complex subunit Fta2	PF13095	Kinetochore Sim4 complex subunit FTA2
OG0000072	45	20	GO:0016491	oxidoreductase activity 	IPR006076	Domain FAD dependent oxidoreductase	PF01266	FAD dependent oxidoreductase
OG0000073	44	14	None	None	IPR011118	Family Tannase/feruloyl esterase	PF07519	Tannase and feruloyl esterase
OG0000074	44	23	GO:0003677;GO:0006352	DNA binding ;DNA-templated transcription initiation 	IPR000814	Family TATA-box binding protein	PF00352	Transcription factor TFIID (or TATA-binding protein, TBP)
OG0000075	44	17	None	None	None	None	None	None
OG0000076	43	18	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000077	43	20	GO:0016787	hydrolase activity 	IPR013094	Domain Alpha/beta hydrolase fold-3	PF07859	alpha/beta hydrolase fold
OG0000078	43	19	GO:0016020	membrane 	IPR007568	Family RTA-like protein	PF04479	RTA1 like protein
OG0000079	43	23	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000080	43	23	GO:0035673	oligopeptide transmembrane transporter activity 	IPR004813	Family Oligopeptide transporter, OPT superfamily	PF03169	OPT oligopeptide transporter protein
OG0000081	42	23	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups 	IPR002656	Domain Acyltransferase 3 domain	PF01757	Acyltransferase family
OG0000082	42	17	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000083	42	17	None	None	IPR005103	Domain Auxiliary Activity family 9, catalytic domain	PF03443	Auxiliary Activity family 9 (formerly GH61)
OG0000084	41	19	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000085	41	19	None	None	IPR045518	Domain 2EXR domain	PF20150	2EXR family
OG0000086	41	20	None	None	IPR002347	Family Short-chain dehydrogenase/reductase SDR	PF00106	short chain dehydrogenase
OG0000087	41	19	None	None	IPR046676	Family Protein of unknown function DUF6546	PF20183	Family of unknown function (DUF6546)
OG0000088	41	23	None	None	IPR031329;IPR031331	Domain Neutral/alkaline non-lysosomal ceramidase, N-terminal;Domain Neutral/alkaline non-lysosomal ceramidase, C-terminal	PF04734;PF17048	Neutral/alkaline non-lysosomal ceramidase, N-terminal;Neutral/alkaline non-lysosomal ceramidase, C-terminal
OG0000089	41	23	GO:0004664;GO:0009094	prephenate dehydratase activity ;L-phenylalanine biosynthetic process 	IPR001086	Domain Prephenate dehydratase	PF00800	Prephenate dehydratase
OG0000090	41	23	None	None	None	None	None	None
OG0000091	41	17	None	None	IPR002575	Domain Aminoglycoside phosphotransferase	PF01636	Phosphotransferase enzyme family
OG0000092	41	18	None	None	IPR003615	Domain HNH nuclease	PF13391	HNH endonuclease
OG0000093	40	18	None	None	None	None	None	None
OG0000094	40	16	None	None	IPR018392;IPR024535	Domain LysM domain;Domain Rhamnogalacturonase A/B/Epimerase-like, pectate lyase domain	PF01476;PF12708	LysM domain;Pectate lyase superfamily protein
OG0000095	40	23	None	None	None	None	PF13489	Methyltransferase domain
OG0000096	40	17	GO:0008239;GO:0016787	dipeptidyl-peptidase activity ;hydrolase activity 	IPR013736;IPR000383	Domain Xaa-Pro dipeptidyl-peptidase, C-terminal;Domain Xaa-Pro dipeptidyl-peptidase-like domain	PF08530;PF02129	X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain;X-Pro dipeptidyl-peptidase (S15 family)
OG0000097	40	17	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000098	40	23	None	None	None	None	None	None
OG0000099	40	16	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000100	39	23	None	None	IPR004895	Family Prenylated rab acceptor PRA1	PF03208	PRA1 family protein
OG0000101	39	15	GO:0005975;GO:0008061	carbohydrate metabolic process ;chitin binding 	IPR001223;IPR001002	Domain Glycoside hydrolase family 18, catalytic domain;Domain Chitin-binding, type 1	PF00704;PF00187	Glycosyl hydrolases family 18;Chitin recognition protein
OG0000102	39	16	GO:0005515	protein binding 	IPR031359;IPR002110	Domain NWD NACHT-NTPase, N-terminal;Repeat Ankyrin repeat	PF17100;PF12796	N-terminal domain of NWD NACHT-NTPase;Ankyrin repeats (3 copies)
OG0000103	39	15	None	None	None	None	None	None
OG0000104	39	19	GO:0030599;GO:0042545;GO:0004650;GO:0005975	pectinesterase activity ;cell wall modification ;polygalacturonase activity ;carbohydrate metabolic process 	IPR000070;IPR000743	Domain Pectinesterase, catalytic;Family Glycoside hydrolase, family 28	PF01095;PF00295	Pectinesterase;Glycosyl hydrolases family 28
OG0000105	39	22	None	None	IPR000801	Family Esterase-like	PF00756	Putative esterase
OG0000106	39	14	GO:0005515	protein binding 	IPR002110	Repeat Ankyrin repeat	PF13606	Ankyrin repeat
OG0000107	39	20	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000108	39	18	None	None	IPR022085	Family Oxopyrrolidines biosynthesis cluster protein G	PF12311	Protein of unknown function (DUF3632)
OG0000109	38	18	None	None	IPR044862	Domain Prolyl 4-hydroxylase alpha subunit, Fe(2+) 2OG dioxygenase domain	PF13640	2OG-Fe(II) oxygenase superfamily
OG0000110	38	12	GO:0008484	sulfuric ester hydrolase activity 	IPR000917	Domain Sulfatase, N-terminal	PF00884	Sulfatase
OG0000111	38	22	None	None	None	None	PF13561	Enoyl-(Acyl carrier protein) reductase
OG0000112	38	20	None	None	IPR013154	Domain Alcohol dehydrogenase-like, N-terminal	PF08240	Alcohol dehydrogenase GroES-like domain
OG0000113	38	22	GO:0071949	FAD binding 	IPR002938	Domain FAD-binding domain	PF01494	FAD binding domain
OG0000114	38	20	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000115	38	23	None	None	IPR018834	Domain DNA/RNA-binding domain, Est1-type	PF10373	Est1 DNA/RNA binding domain
OG0000116	38	16	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000117	38	23	GO:0016491	oxidoreductase activity 	IPR015590	Domain Aldehyde dehydrogenase domain	PF00171	Aldehyde dehydrogenase family
OG0000118	38	18	None	None	None	None	None	None
OG0000119	38	15	None	None	None	None	None	None
OG0000120	38	14	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000121	37	23	None	None	None	None	None	None
OG0000122	37	21	None	None	IPR023631	Domain Amidase signature domain	PF01425	Amidase
OG0000123	37	23	GO:0005975	carbohydrate metabolic process 	IPR006047	Domain Glycosyl hydrolase, family 13, catalytic domain	PF00128	Alpha amylase, catalytic domain
OG0000124	37	23	None	None	None	None	PF13578	Methyltransferase domain
OG0000125	37	23	None	None	None	None	None	None
OG0000126	37	18	None	None	IPR013057	Domain Amino acid transporter, transmembrane domain	PF01490	Transmembrane amino acid transporter protein
OG0000127	37	22	GO:0016787	hydrolase activity 	IPR004843	Domain Calcineurin-like phosphoesterase domain, ApaH type	PF00149	Calcineurin-like phosphoesterase
OG0000128	37	23	GO:0005384;GO:0030026	manganese ion transmembrane transporter activity ;intracellular manganese ion homeostasis 	IPR008217	Family Ccc1 family	PF01988	VIT family
OG0000129	37	19	None	None	None	None	None	None
OG0000130	37	20	GO:0004553;GO:0071704	hydrolase activity, hydrolyzing O-glycosyl compounds ;N/A	IPR001547	Domain Glycoside hydrolase, family 5	PF00150	Cellulase (glycosyl hydrolase family 5)
OG0000131	36	16	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000132	36	22	GO:0003755	peptidyl-prolyl cis-trans isomerase activity 	IPR001179	Domain FKBP-type peptidyl-prolyl cis-trans isomerase domain	PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase
OG0000133	36	22	GO:0004553;GO:0071704	hydrolase activity, hydrolyzing O-glycosyl compounds ;N/A	IPR001547	Domain Glycoside hydrolase, family 5	PF00150	Cellulase (glycosyl hydrolase family 5)
OG0000134	36	19	GO:0016491	oxidoreductase activity 	IPR006076	Domain FAD dependent oxidoreductase	PF01266	FAD dependent oxidoreductase
OG0000135	36	23	GO:0008236	serine-type peptidase activity 	IPR015366	Domain Peptidase S53, activation domain	PF09286	Pro-kumamolisin, activation domain 
OG0000136	36	19	None	None	IPR023210	Domain NADP-dependent oxidoreductase domain	PF00248	Aldo/keto reductase family
OG0000137	36	23	None	None	None	None	None	None
OG0000138	36	22	None	None	None	None	None	None
OG0000139	36	23	GO:0016491	oxidoreductase activity 	IPR015590	Domain Aldehyde dehydrogenase domain	PF00171	Aldehyde dehydrogenase family
OG0000140	36	20	None	None	IPR025110;IPR000873	Domain AMP-binding enzyme, C-terminal domain;Domain AMP-dependent synthetase/ligase domain	PF13193;PF00501	AMP-binding enzyme C-terminal domain;AMP-binding enzyme
OG0000141	36	13	GO:0005515	protein binding 	IPR002110	Repeat Ankyrin repeat	PF12796	Ankyrin repeats (3 copies)
OG0000142	36	22	None	None	None	None	None	None
OG0000143	36	19	None	None	None	None	None	None
OG0000144	36	23	GO:0008289	lipid binding 	IPR000648	Family Oxysterol-binding protein	PF01237	Oxysterol-binding protein 
OG0000145	35	20	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000146	35	19	None	None	None	None	None	None
OG0000147	35	21	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000148	35	18	GO:0071949	FAD binding 	IPR002938	Domain FAD-binding domain	PF01494	FAD binding domain
OG0000149	35	14	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000150	35	20	None	None	None	None	None	None
OG0000151	35	23	GO:0005524;GO:0016020;GO:0042626;GO:0055085;GO:0140359	ATP binding ;membrane ;ATPase-coupled transmembrane transporter activity ;transmembrane transport ;ABC-type transporter activity 	IPR003439;IPR013525;IPR010929;IPR029481;IPR043926	Domain ABC transporter-like, ATP-binding domain;Domain ABC-2 type transporter, transmembrane domain;Domain CDR ABC transporter;Domain Pleiotropic ABC efflux transporter, N-terminal domain;Domain ABC transporter family G domain	PF00005;PF01061;PF06422;PF14510;PF19055	ABC transporter;ABC-2 type transporter;CDR ABC transporter;ABC-transporter N-terminal;ABC-2 type transporter
OG0000152	35	18	GO:0008484	sulfuric ester hydrolase activity 	IPR000917	Domain Sulfatase, N-terminal	PF00884	Sulfatase
OG0000153	35	19	GO:0071949	FAD binding 	IPR002938	Domain FAD-binding domain	PF01494	FAD binding domain
OG0000154	35	13	None	None	None	None	None	None
OG0000155	35	14	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000156	35	20	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000157	35	19	GO:0016020	membrane 	IPR008253	Domain Marvel domain	PF01284	Membrane-associating domain
OG0000158	35	23	None	None	IPR013154;IPR013149	Domain Alcohol dehydrogenase-like, N-terminal;Domain Alcohol dehydrogenase-like, C-terminal	PF08240;PF00107	Alcohol dehydrogenase GroES-like domain;Zinc-binding dehydrogenase
OG0000159	35	23	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR001248	Family Purine-cytosine permease	PF02133	Permease for cytosine/purines, uracil, thiamine, allantoin
OG0000160	35	21	None	None	None	None	None	None
OG0000161	35	19	GO:0071949	FAD binding 	IPR002938	Domain FAD-binding domain	PF01494	FAD binding domain
OG0000162	35	22	None	None	None	None	None	None
OG0000163	35	23	GO:0016020	membrane 	IPR000791	Family Acetate transporter GPR1/Ato2/SatP-like	PF01184	GPR1/FUN34/yaaH family
OG0000164	34	13	None	None	None	None	None	None
OG0000165	34	18	GO:0016491	oxidoreductase activity 	IPR009799	Domain EthD domain	PF07110	EthD domain
OG0000166	34	19	GO:0004553;GO:0005975	hydrolase activity, hydrolyzing O-glycosyl compounds ;carbohydrate metabolic process 	IPR001764;IPR002772;IPR011658;IPR026891	Domain Glycoside hydrolase, family 3, N-terminal;Domain Glycoside hydrolase family 3 C-terminal domain;Domain PA14 domain;Domain Fibronectin type III-like domain	PF00933;PF01915;PF07691;PF14310	Glycosyl hydrolase family 3 N terminal domain;Glycosyl hydrolase family 3 C-terminal domain;PA14 domain;Fibronectin type III-like domain
OG0000167	34	19	None	None	IPR041524	Domain Glycoside hydrolase 131, catalytic N-terminal	PF18271	Glycoside hydrolase 131 catalytic N-terminal domain
OG0000168	34	16	None	None	None	None	None	None
OG0000169	34	18	GO:0005515	protein binding 	IPR001214	Domain SET domain	PF00856	SET domain
OG0000170	34	23	GO:0005643;GO:0006913;GO:0017056	nuclear pore ;nucleocytoplasmic transport ;structural constituent of nuclear pore 	IPR007230;IPR021967;IPR025574	Domain Nuclear pore complex protein Nup98-Nup96-like, autopeptidase S59 domain;Domain Nuclear pore complex protein NUP96, C-terminal domain;Repeat Nucleoporin FG repeat	PF04096;PF12110;PF13634	Nucleoporin autopeptidase;Nuclear protein 96;Nucleoporin FG repeat region
OG0000171	34	20	None	None	IPR021833	Family Protein of unknown function DUF3425	PF11905	Domain of unknown function (DUF3425)
OG0000172	34	17	None	None	None	None	PF13561	Enoyl-(Acyl carrier protein) reductase
OG0000173	34	19	None	None	IPR008427	Domain Extracellular membrane protein, CFEM domain	PF05730	CFEM domain
OG0000174	34	19	None	None	IPR010730	Domain Heterokaryon incompatibility	PF06985	Heterokaryon incompatibility protein (HET)
