cluster_id	change_node43	GO_domain_ids	GO_domain_description	IPR_domain_ids	IPR_domain_description	Pfam_domain_ids	Pfam_domain_description
OG0000020	-2	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000021	-2	GO:0004553;GO:0005975	hydrolase activity, hydrolyzing O-glycosyl compounds ;carbohydrate metabolic process 	IPR002772;IPR001764;IPR026891;IPR011658	Domain Glycoside hydrolase family 3 C-terminal domain;Domain Glycoside hydrolase, family 3, N-terminal;Domain Fibronectin type III-like domain;Domain PA14 domain	PF01915;PF00933;PF14310;PF07691	Glycosyl hydrolase family 3 C-terminal domain;Glycosyl hydrolase family 3 N terminal domain;Fibronectin type III-like domain;PA14 domain
OG0000022	-2	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000030	-2	GO:0008484	sulfuric ester hydrolase activity 	IPR000917	Domain Sulfatase, N-terminal	PF00884	Sulfatase
OG0000037	-2	GO:0016491;GO:0050660	oxidoreductase activity ;flavin adenine dinucleotide binding 	IPR012951;IPR006094	Domain Berberine/berberine-like;Domain FAD linked oxidase, N-terminal	PF08031;PF01565	Berberine and berberine like ;FAD binding domain 
OG0000040	-2	None	None	IPR002347	Family Short-chain dehydrogenase/reductase SDR	PF00106	short chain dehydrogenase
OG0000045	-2	None	None	IPR046452;IPR046451	Domain Homogentisate 1,2-dioxygenase, N-terminal domain;Domain Homogentisate 1,2-dioxygenase, C-terminal domain	PF20510;PF04209	Homogentisate 1,2-dioxygenase N-terminal;Homogentisate 1,2-dioxygenase C-terminal
OG0000047	-2	None	None	None	None	None	None
OG0000048	-2	None	None	IPR023631	Domain Amidase signature domain	PF01425	Amidase
OG0000049	-2	GO:0005975	carbohydrate metabolic process 	IPR001223;IPR029226;IPR018392	Domain Glycoside hydrolase family 18, catalytic domain;Domain Ecp2 effector protein-like;Domain LysM domain	PF00704;PF14856;PF01476	Glycosyl hydrolases family 18;Pathogen effector; putative necrosis-inducing factor;LysM domain
OG0000050	-2	GO:0004499;GO:0050660;GO:0050661	N,N-dimethylaniline monooxygenase activity ;flavin adenine dinucleotide binding ;NADP binding 	IPR020946	Family Flavin monooxygenase-like	PF00743	Flavin-binding monooxygenase-like
OG0000051	-2	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000053	-2	None	None	IPR003615	Domain HNH nuclease	PF13391	HNH endonuclease
OG0000054	-2	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR010573	Family Major facilitator transporter Str1/Tri12-like	PF06609	Fungal trichothecene efflux pump (TRI12)
OG0000055	-2	None	None	IPR002018	Domain Carboxylesterase, type B	PF00135	Carboxylesterase family
OG0000056	-2	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000060	-2	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000073	-2	None	None	IPR011118	Family Tannase/feruloyl esterase	PF07519	Tannase and feruloyl esterase
OG0000077	-2	GO:0016787	hydrolase activity 	IPR013094	Domain Alpha/beta hydrolase fold-3	PF07859	alpha/beta hydrolase fold
OG0000084	-2	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000087	-2	None	None	IPR046676	Family Protein of unknown function DUF6546	PF20183	Family of unknown function (DUF6546)
OG0000092	-2	None	None	IPR003615	Domain HNH nuclease	PF13391	HNH endonuclease
OG0000094	-2	None	None	IPR018392;IPR024535	Domain LysM domain;Domain Rhamnogalacturonase A/B/Epimerase-like, pectate lyase domain	PF01476;PF12708	LysM domain;Pectate lyase superfamily protein
OG0000101	-2	GO:0005975;GO:0008061	carbohydrate metabolic process ;chitin binding 	IPR001223;IPR001002	Domain Glycoside hydrolase family 18, catalytic domain;Domain Chitin-binding, type 1	PF00704;PF00187	Glycosyl hydrolases family 18;Chitin recognition protein
OG0000107	-2	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000112	-2	None	None	IPR013154	Domain Alcohol dehydrogenase-like, N-terminal	PF08240	Alcohol dehydrogenase GroES-like domain
OG0000114	-2	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000126	-2	None	None	IPR013057	Domain Amino acid transporter, transmembrane domain	PF01490	Transmembrane amino acid transporter protein
OG0000130	-2	GO:0004553;GO:0071704	hydrolase activity, hydrolyzing O-glycosyl compounds ;N/A	IPR001547	Domain Glycoside hydrolase, family 5	PF00150	Cellulase (glycosyl hydrolase family 5)
OG0000136	-2	None	None	IPR023210	Domain NADP-dependent oxidoreductase domain	PF00248	Aldo/keto reductase family
OG0000140	-2	None	None	IPR025110;IPR000873	Domain AMP-binding enzyme, C-terminal domain;Domain AMP-dependent synthetase/ligase domain	PF13193;PF00501	AMP-binding enzyme C-terminal domain;AMP-binding enzyme
OG0000150	-2	None	None	None	None	None	None
OG0000161	-2	GO:0071949	FAD binding 	IPR002938	Domain FAD-binding domain	PF01494	FAD binding domain
OG0000165	-2	GO:0016491	oxidoreductase activity 	IPR009799	Domain EthD domain	PF07110	EthD domain
OG0000175	-2	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen 	IPR011251	Domain Luciferase-like domain	PF00296	Luciferase-like monooxygenase
OG0000185	-2	GO:0050660;GO:0003824	flavin adenine dinucleotide binding ;catalytic activity 	IPR006094;IPR004113	Domain FAD linked oxidase, N-terminal;Domain FAD-binding oxidoreductase/transferase, type 4, C-terminal	PF01565;PF02913	FAD binding domain ;FAD linked oxidases, C-terminal domain
OG0000198	-2	None	None	IPR008775	Family Phytanoyl-CoA dioxygenase-like	PF05721	Phytanoyl-CoA dioxygenase (PhyH)
OG0000205	-2	GO:0016491	oxidoreductase activity 	IPR015590	Domain Aldehyde dehydrogenase domain	PF00171	Aldehyde dehydrogenase family
OG0000208	-2	GO:0004061;GO:0019441	arylformamidase activity ;tryptophan catabolic process to kynurenine 	IPR007325	Family Kynurenine formamidase/cyclase-like	PF04199	Putative cyclase
OG0000220	-2	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000240	-2	GO:0000981;GO:0006355;GO:0008270	DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription ;zinc ion binding 	IPR021858;IPR001138	Family Fungal transcription factor;Domain Zn(2)Cys(6) fungal-type DNA-binding domain	PF11951;PF00172	Fungal specific transcription factor domain;Fungal Zn(2)-Cys(6) binuclear cluster domain
OG0000265	-2	None	None	IPR023631	Domain Amidase signature domain	PF01425	Amidase
OG0000266	-2	GO:0016829	lyase activity 	IPR002220	Family DapA-like	PF00701	Dihydrodipicolinate synthetase family
OG0005542	-2	None	None	IPR003615	Domain HNH nuclease	PF13391	HNH endonuclease
OG0000002	-1	None	None	None	None	None	None
OG0000014	-1	None	None	IPR029065	Domain Enolase C-terminal domain-like	PF13378	Enolase C-terminal domain-like
OG0000017	-1	GO:0004672;GO:0006468;GO:0005524	protein kinase activity ;protein phosphorylation ;ATP binding 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000023	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000025	-1	GO:0016491	oxidoreductase activity 	IPR015590	Domain Aldehyde dehydrogenase domain	PF00171	Aldehyde dehydrogenase family
OG0000026	-1	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000031	-1	None	None	None	None	None	None
OG0000033	-1	GO:0005515	protein binding 	IPR002110	Repeat Ankyrin repeat	None	None
OG0000034	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR010573	Family Major facilitator transporter Str1/Tri12-like	PF06609	Fungal trichothecene efflux pump (TRI12)
OG0000035	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000036	-1	GO:0016020;GO:0055085	membrane ;transmembrane transport 	IPR004841	Domain Amino acid permease/ SLC12A domain	PF00324	Amino acid permease
OG0000041	-1	GO:0016787	hydrolase activity 	IPR000675	Family Cutinase/acetylxylan esterase	PF01083	Cutinase
OG0000042	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000043	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000052	-1	None	None	IPR023210	Domain NADP-dependent oxidoreductase domain	PF00248	Aldo/keto reductase family
OG0000057	-1	GO:0016491	oxidoreductase activity 	IPR015590	Domain Aldehyde dehydrogenase domain	PF00171	Aldehyde dehydrogenase family
OG0000061	-1	None	None	None	None	None	None
OG0000062	-1	GO:0003824;GO:0004334;GO:0009072	catalytic activity ;fumarylacetoacetase activity ;aromatic amino acid metabolic process 	IPR015377;IPR011234	Domain Fumarylacetoacetase, N-terminal;Domain Fumarylacetoacetase-like, C-terminal	PF09298;PF01557	Fumarylacetoacetase N-terminal;Fumarylacetoacetate (FAA) hydrolase family
OG0000064	-1	None	None	None	None	None	None
OG0000067	-1	GO:0005507;GO:0016491	copper ion binding ;oxidoreductase activity 	IPR011706;IPR011707;IPR001117	Domain Multicopper oxidase, C-terminal;Domain Multicopper oxidase-like, N-terminal;Domain Multicopper oxidase, second cupredoxin domain	PF07731;PF07732;PF00394	Multicopper oxidase;Multicopper oxidase;Multicopper oxidase
OG0000068	-1	None	None	IPR033123	Domain Glycosyl hydrolases family 11 (GH11) domain	PF00457	Glycosyl hydrolases family 11
OG0000070	-1	GO:0005515	protein binding 	IPR000210	Domain BTB/POZ domain	PF00651	BTB/POZ domain
OG0000071	-1	None	None	IPR025213	Family Kinetochore Sim4 complex subunit Fta2	PF13095	Kinetochore Sim4 complex subunit FTA2
OG0000072	-1	GO:0016491	oxidoreductase activity 	IPR006076	Domain FAD dependent oxidoreductase	PF01266	FAD dependent oxidoreductase
OG0000074	-1	GO:0003677;GO:0006352	DNA binding ;DNA-templated transcription initiation 	IPR000814	Family TATA-box binding protein	PF00352	Transcription factor TFIID (or TATA-binding protein, TBP)
OG0000075	-1	None	None	None	None	None	None
OG0000078	-1	GO:0016020	membrane 	IPR007568	Family RTA-like protein	PF04479	RTA1 like protein
OG0000082	-1	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000083	-1	None	None	IPR005103	Domain Auxiliary Activity family 9, catalytic domain	PF03443	Auxiliary Activity family 9 (formerly GH61)
OG0000085	-1	None	None	IPR045518	Domain 2EXR domain	PF20150	2EXR family
OG0000088	-1	None	None	IPR031329;IPR031331	Domain Neutral/alkaline non-lysosomal ceramidase, N-terminal;Domain Neutral/alkaline non-lysosomal ceramidase, C-terminal	PF04734;PF17048	Neutral/alkaline non-lysosomal ceramidase, N-terminal;Neutral/alkaline non-lysosomal ceramidase, C-terminal
OG0000093	-1	None	None	None	None	None	None
OG0000095	-1	None	None	None	None	PF13489	Methyltransferase domain
OG0000096	-1	GO:0008239;GO:0016787	dipeptidyl-peptidase activity ;hydrolase activity 	IPR013736;IPR000383	Domain Xaa-Pro dipeptidyl-peptidase, C-terminal;Domain Xaa-Pro dipeptidyl-peptidase-like domain	PF08530;PF02129	X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain;X-Pro dipeptidyl-peptidase (S15 family)
OG0000097	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000102	-1	GO:0005515	protein binding 	IPR031359;IPR002110	Domain NWD NACHT-NTPase, N-terminal;Repeat Ankyrin repeat	PF17100;PF12796	N-terminal domain of NWD NACHT-NTPase;Ankyrin repeats (3 copies)
OG0000103	-1	None	None	None	None	None	None
OG0000104	-1	GO:0030599;GO:0042545;GO:0004650;GO:0005975	pectinesterase activity ;cell wall modification ;polygalacturonase activity ;carbohydrate metabolic process 	IPR000070;IPR000743	Domain Pectinesterase, catalytic;Family Glycoside hydrolase, family 28	PF01095;PF00295	Pectinesterase;Glycosyl hydrolases family 28
OG0000106	-1	GO:0005515	protein binding 	IPR002110	Repeat Ankyrin repeat	PF13606	Ankyrin repeat
OG0000108	-1	None	None	IPR022085	Family Oxopyrrolidines biosynthesis cluster protein G	PF12311	Protein of unknown function (DUF3632)
OG0000109	-1	None	None	IPR044862	Domain Prolyl 4-hydroxylase alpha subunit, Fe(2+) 2OG dioxygenase domain	PF13640	2OG-Fe(II) oxygenase superfamily
OG0000110	-1	GO:0008484	sulfuric ester hydrolase activity 	IPR000917	Domain Sulfatase, N-terminal	PF00884	Sulfatase
OG0000116	-1	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000117	-1	GO:0016491	oxidoreductase activity 	IPR015590	Domain Aldehyde dehydrogenase domain	PF00171	Aldehyde dehydrogenase family
OG0000118	-1	None	None	None	None	None	None
OG0000131	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000134	-1	GO:0016491	oxidoreductase activity 	IPR006076	Domain FAD dependent oxidoreductase	PF01266	FAD dependent oxidoreductase
OG0000138	-1	None	None	None	None	None	None
OG0000141	-1	GO:0005515	protein binding 	IPR002110	Repeat Ankyrin repeat	PF12796	Ankyrin repeats (3 copies)
OG0000143	-1	None	None	None	None	None	None
OG0000144	-1	GO:0008289	lipid binding 	IPR000648	Family Oxysterol-binding protein	PF01237	Oxysterol-binding protein 
OG0000145	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000146	-1	None	None	None	None	None	None
OG0000148	-1	GO:0071949	FAD binding 	IPR002938	Domain FAD-binding domain	PF01494	FAD binding domain
OG0000149	-1	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000152	-1	GO:0008484	sulfuric ester hydrolase activity 	IPR000917	Domain Sulfatase, N-terminal	PF00884	Sulfatase
OG0000153	-1	GO:0071949	FAD binding 	IPR002938	Domain FAD-binding domain	PF01494	FAD binding domain
OG0000154	-1	None	None	None	None	None	None
OG0000155	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000156	-1	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000157	-1	GO:0016020	membrane 	IPR008253	Domain Marvel domain	PF01284	Membrane-associating domain
OG0000158	-1	None	None	IPR013154;IPR013149	Domain Alcohol dehydrogenase-like, N-terminal;Domain Alcohol dehydrogenase-like, C-terminal	PF08240;PF00107	Alcohol dehydrogenase GroES-like domain;Zinc-binding dehydrogenase
OG0000164	-1	None	None	None	None	None	None
OG0000166	-1	GO:0004553;GO:0005975	hydrolase activity, hydrolyzing O-glycosyl compounds ;carbohydrate metabolic process 	IPR001764;IPR002772;IPR011658;IPR026891	Domain Glycoside hydrolase, family 3, N-terminal;Domain Glycoside hydrolase family 3 C-terminal domain;Domain PA14 domain;Domain Fibronectin type III-like domain	PF00933;PF01915;PF07691;PF14310	Glycosyl hydrolase family 3 N terminal domain;Glycosyl hydrolase family 3 C-terminal domain;PA14 domain;Fibronectin type III-like domain
OG0000167	-1	None	None	IPR041524	Domain Glycoside hydrolase 131, catalytic N-terminal	PF18271	Glycoside hydrolase 131 catalytic N-terminal domain
OG0000168	-1	None	None	None	None	None	None
OG0000169	-1	GO:0005515	protein binding 	IPR001214	Domain SET domain	PF00856	SET domain
OG0000171	-1	None	None	IPR021833	Family Protein of unknown function DUF3425	PF11905	Domain of unknown function (DUF3425)
OG0000172	-1	None	None	None	None	PF13561	Enoyl-(Acyl carrier protein) reductase
OG0000173	-1	None	None	IPR008427	Domain Extracellular membrane protein, CFEM domain	PF05730	CFEM domain
OG0000174	-1	None	None	IPR010730	Domain Heterokaryon incompatibility	PF06985	Heterokaryon incompatibility protein (HET)
OG0000177	-1	GO:0003676;GO:0004523	nucleic acid binding ;RNA-DNA hybrid ribonuclease activity 	IPR002156	Domain Ribonuclease H domain	PF00075	RNase H
OG0000179	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000180	-1	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000181	-1	None	None	IPR002575	Domain Aminoglycoside phosphotransferase	PF01636	Phosphotransferase enzyme family
OG0000186	-1	GO:0016757	glycosyltransferase activity 	IPR007657	Family Glycosyltransferase 61	PF04577	Glycosyltransferase 61
OG0000187	-1	None	None	IPR002018	Domain Carboxylesterase, type B	PF00135	Carboxylesterase family
OG0000188	-1	GO:0071949	FAD binding 	IPR002938	Domain FAD-binding domain	PF01494	FAD binding domain
OG0000190	-1	None	None	IPR013096	Domain Cupin 2, conserved barrel	PF07883	Cupin domain
OG0000191	-1	GO:0016614;GO:0050660	oxidoreductase activity, acting on CH-OH group of donors ;flavin adenine dinucleotide binding 	IPR000172;IPR007867	Domain Glucose-methanol-choline oxidoreductase, N-terminal;Domain Glucose-methanol-choline oxidoreductase, C-terminal	PF00732;PF05199	GMC oxidoreductase;GMC oxidoreductase
OG0000193	-1	GO:0005975;GO:0016810	carbohydrate metabolic process ;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds 	IPR002509;IPR018959	Domain NodB homology domain;Domain Domain of unknown function DUF1989	PF01522;PF09347	Polysaccharide deacetylase;Domain of unknown function (DUF1989)
OG0000195	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000199	-1	GO:0004553;GO:0005975	hydrolase activity, hydrolyzing O-glycosyl compounds ;carbohydrate metabolic process 	IPR002772;IPR001764;IPR026891	Domain Glycoside hydrolase family 3 C-terminal domain;Domain Glycoside hydrolase, family 3, N-terminal;Domain Fibronectin type III-like domain	PF01915;PF00933;PF14310	Glycosyl hydrolase family 3 C-terminal domain;Glycosyl hydrolase family 3 N terminal domain;Fibronectin type III-like domain
OG0000200	-1	GO:0016491	oxidoreductase activity 	IPR002227	Domain Tyrosinase copper-binding domain	PF00264	Common central domain of tyrosinase
OG0000201	-1	None	None	None	None	None	None
OG0000202	-1	GO:0016787	hydrolase activity 	IPR013094	Domain Alpha/beta hydrolase fold-3	PF07859	alpha/beta hydrolase fold
OG0000203	-1	GO:0008270;GO:0000981;GO:0006355;GO:0003677;GO:0006351	zinc ion binding ;DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription ;DNA binding ;DNA-templated transcription 	IPR001138;IPR007219	Domain Zn(2)Cys(6) fungal-type DNA-binding domain;Domain Transcription factor domain, fungi	PF00172;PF04082	Fungal Zn(2)-Cys(6) binuclear cluster domain;Fungal specific transcription factor domain 
OG0000204	-1	None	None	IPR002575	Domain Aminoglycoside phosphotransferase	PF01636	Phosphotransferase enzyme family
OG0000206	-1	None	None	None	None	None	None
OG0000207	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000209	-1	None	None	IPR000560	Family Histidine phosphatase superfamily, clade-2	PF00328	Histidine phosphatase superfamily (branch 2)
OG0000211	-1	GO:0071949	FAD binding 	IPR002938	Domain FAD-binding domain	PF01494	FAD binding domain
OG0000212	-1	GO:0004499;GO:0050660;GO:0050661	N,N-dimethylaniline monooxygenase activity ;flavin adenine dinucleotide binding ;NADP binding 	IPR020946	Family Flavin monooxygenase-like	PF00743;PF13450	Flavin-binding monooxygenase-like;NAD(P)-binding Rossmann-like domain
OG0000213	-1	None	None	None	None	None	None
OG0000215	-1	None	None	None	None	None	None
OG0000217	-1	GO:0005576;GO:0005975;GO:0030248	extracellular region ;carbohydrate metabolic process ;cellulose binding 	IPR005103;IPR000254	Domain Auxiliary Activity family 9, catalytic domain;Domain Cellulose-binding domain, fungal	PF03443;PF00734	Auxiliary Activity family 9 (formerly GH61);Fungal cellulose binding domain
OG0000218	-1	None	None	IPR024535	Domain Rhamnogalacturonase A/B/Epimerase-like, pectate lyase domain	PF12708	Pectate lyase superfamily protein
OG0000221	-1	GO:0050660;GO:0016491	flavin adenine dinucleotide binding ;oxidoreductase activity 	IPR012951;IPR006094	Domain Berberine/berberine-like;Domain FAD linked oxidase, N-terminal	PF08031;PF01565	Berberine and berberine like ;FAD binding domain 
OG0000223	-1	None	None	IPR007111	Domain NACHT nucleoside triphosphatase	PF05729	NACHT domain
OG0000224	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000226	-1	GO:0008270;GO:0003677;GO:0006351	zinc ion binding ;DNA binding ;DNA-templated transcription 	IPR033121;IPR007219	Domain Peptidase family A1 domain;Domain Transcription factor domain, fungi	PF00026;PF04082	Eukaryotic aspartyl protease;Fungal specific transcription factor domain 
OG0000227	-1	None	None	IPR013830	Domain SGNH hydrolase-type esterase domain	PF13472	GDSL-like Lipase/Acylhydrolase family
OG0000228	-1	GO:0016787	hydrolase activity 	IPR013094;IPR022742	Domain Alpha/beta hydrolase fold-3;Domain Serine aminopeptidase, S33	PF07859;PF12146	alpha/beta hydrolase fold;Serine aminopeptidase, S33
OG0000229	-1	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000230	-1	GO:0004499;GO:0050660;GO:0050661	N,N-dimethylaniline monooxygenase activity ;flavin adenine dinucleotide binding ;NADP binding 	IPR020946	Family Flavin monooxygenase-like	PF13738;PF00743	Pyridine nucleotide-disulphide oxidoreductase;Flavin-binding monooxygenase-like
OG0000232	-1	GO:0016491	oxidoreductase activity 	IPR015590	Domain Aldehyde dehydrogenase domain	PF00171	Aldehyde dehydrogenase family
OG0000233	-1	None	None	None	None	None	None
OG0000234	-1	None	None	None	None	None	None
OG0000236	-1	GO:0004553;GO:0005975	hydrolase activity, hydrolyzing O-glycosyl compounds ;carbohydrate metabolic process 	IPR001722	Family Glycoside hydrolase, family 7	PF00840	Glycosyl hydrolase family 7
OG0000237	-1	None	None	None	None	None	None
OG0000238	-1	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000243	-1	None	None	None	None	None	None
OG0000244	-1	None	None	IPR021833	Family Protein of unknown function DUF3425	PF11905	Domain of unknown function (DUF3425)
OG0000247	-1	GO:0016614;GO:0050660	oxidoreductase activity, acting on CH-OH group of donors ;flavin adenine dinucleotide binding 	IPR007867;IPR000172	Domain Glucose-methanol-choline oxidoreductase, C-terminal;Domain Glucose-methanol-choline oxidoreductase, N-terminal	PF05199;PF00732	GMC oxidoreductase;GMC oxidoreductase
OG0000248	-1	None	None	None	None	None	None
OG0000249	-1	None	None	None	None	None	None
