FamilyID	TaxonID	Count	Change	Pvalue	GO_domain_ids	GO_domain_description	IPR_domain_ids	IPR_domain_description	Pfam_domain_ids	Pfam_domain_description
OG0000018	Sporothrix_luriei_CBS93772	0	-2	0.000730292	None	None	IPR035396;IPR013737;IPR008902;IPR035398	Domain Alpha-L-rhamnosidase, six-hairpin glycosidase domain;Domain Bacterial alpha-L-rhamnosidase N-terminal;Domain Alpha-L-rhamnosidase, concanavalin-like domain;Domain Alpha-L-rhamnosidase C-terminal domain	PF17389;PF08531;PF05592;PF17390	Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain;Alpha-L-rhamnosidase N-terminal domain;Bacterial alpha-L-rhamnosidase concanavalin-like domain;Bacterial alpha-L-rhamnosidase C-terminal domain
OG0000025	Sporothrix_luriei_CBS93772	0	-2	0.000730292	GO:0016491	oxidoreductase activity 	IPR015590	Domain Aldehyde dehydrogenase domain	PF00171	Aldehyde dehydrogenase family
OG0000033	Sporothrix_luriei_CBS93772	0	-2	0.000730292	GO:0005515	protein binding 	IPR002110	Repeat Ankyrin repeat	None	None
OG0000034	Sporothrix_luriei_CBS93772	0	-2	0.000730292	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR010573	Family Major facilitator transporter Str1/Tri12-like	PF06609	Fungal trichothecene efflux pump (TRI12)
OG0000094	Sporothrix_luriei_CBS93772	0	-2	0.000730292	None	None	IPR018392;IPR024535	Domain LysM domain;Domain Rhamnogalacturonase A/B/Epimerase-like, pectate lyase domain	PF01476;PF12708	LysM domain;Pectate lyase superfamily protein
OG0000101	Sporothrix_luriei_CBS93772	0	-2	0.000730292	GO:0005975;GO:0008061	carbohydrate metabolic process ;chitin binding 	IPR001223;IPR001002	Domain Glycoside hydrolase family 18, catalytic domain;Domain Chitin-binding, type 1	PF00704;PF00187	Glycosyl hydrolases family 18;Chitin recognition protein
OG0000182	Sporothrix_globosa_CBS120340	1	-2	0.000913537	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000182	34	3	2	0.00104565	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000214	34	3	2	0.00104565	None	None	IPR002575	Domain Aminoglycoside phosphotransferase	PF01636	Phosphotransferase enzyme family
OG0000059	Sporothrix_globosa_CBS120340	4	2	0.00134591	GO:0016787	hydrolase activity 	IPR010318;IPR008040;IPR002821	Domain DUF917, N-terminal domain;Domain Hydantoinase/oxoprolinase, N-terminal;Domain Hydantoinase A/oxoprolinase	PF06032;PF05378;PF01968	Protein of unknown function (DUF917), N-terminal;Hydantoinase/oxoprolinase N-terminal region;Hydantoinase/oxoprolinase
OG0000001	Sporothrix_luriei_CBS93772	1	-2	0.00201917	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR010573	Family Major facilitator transporter Str1/Tri12-like	PF06609	Fungal trichothecene efflux pump (TRI12)
OG0000014	Sporothrix_luriei_CBS93772	1	-2	0.00201917	None	None	IPR029065	Domain Enolase C-terminal domain-like	PF13378	Enolase C-terminal domain-like
OG0000026	Sporothrix_luriei_CBS93772	4	2	0.00284277	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000091	Sporothrix_luriei_CBS93772	4	2	0.00284277	None	None	IPR002575	Domain Aminoglycoside phosphotransferase	PF01636	Phosphotransferase enzyme family
OG0000129	Sporothrix_luriei_CBS93772	4	2	0.00284277	None	None	None	None	None	None
OG0000001	Sporothrix_globosa_CBS120340	5	2	0.00312823	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR010573	Family Major facilitator transporter Str1/Tri12-like	PF06609	Fungal trichothecene efflux pump (TRI12)
OG0000006	Sporothrix_luriei_CBS93772	2	-2	0.0038523	None	None	IPR010839	Family Acyclic terpene utilisation	PF07287	Acyclic terpene utilisation family protein AtuA
OG0000010	Sporothrix_schenckii_1099	2	1	0.00480749	GO:0006629	lipid metabolic process 	IPR002641	Domain Patatin-like phospholipase domain	PF01734	Patatin-like phospholipase
OG0000057	Sporothrix_brasiliensis_5110	2	1	0.00480749	GO:0016491	oxidoreductase activity 	IPR015590	Domain Aldehyde dehydrogenase domain	PF00171	Aldehyde dehydrogenase family
OG0000058	Sporothrix_brasiliensis_5110	2	1	0.00480749	GO:0005515	protein binding 	IPR002110	Repeat Ankyrin repeat	PF12796	Ankyrin repeats (3 copies)
OG0000086	Sporothrix_schenckii_1099	2	1	0.00480749	None	None	IPR002347	Family Short-chain dehydrogenase/reductase SDR	PF00106	short chain dehydrogenase
OG0000096	Sporothrix_brasiliensis_5110	2	1	0.00480749	GO:0008239;GO:0016787	dipeptidyl-peptidase activity ;hydrolase activity 	IPR013736;IPR000383	Domain Xaa-Pro dipeptidyl-peptidase, C-terminal;Domain Xaa-Pro dipeptidyl-peptidase-like domain	PF08530;PF02129	X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain;X-Pro dipeptidyl-peptidase (S15 family)
OG0000116	Sporothrix_brasiliensis_5110	2	1	0.00480749	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000141	Sporothrix_brasiliensis_5110	2	1	0.00480749	GO:0005515	protein binding 	IPR002110	Repeat Ankyrin repeat	PF12796	Ankyrin repeats (3 copies)
OG0000176	Sporothrix_brasiliensis_5110	2	1	0.00480749	None	None	None	None	None	None
OG0000255	Sporothrix_brasiliensis_5110	2	1	0.00480749	None	None	IPR005532;IPR024775;IPR019257	Domain Sulfatase-modifying factor enzyme;Domain DinB-like domain;Domain Histidine-specific methyltransferase, SAM-dependent	PF03781;PF12867;PF10017	Sulfatase-modifying factor enzyme 1;DinB superfamily;Histidine-specific methyltransferase, SAM-dependent
OG0000268	Sporothrix_brasiliensis_5110	2	1	0.00480749	None	None	IPR025995;IPR026541	Domain RNA binding activity-knot of a chromodomain;Domain MRG domain	PF11717;PF05712	RNA binding activity-knot of a chromodomain ;MRG
OG0000284	Sporothrix_schenckii_1099	2	1	0.00480749	None	None	IPR010839	Family Acyclic terpene utilisation	PF07287	Acyclic terpene utilisation family protein AtuA
OG0000296	Sporothrix_brasiliensis_5110	2	1	0.00480749	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000316	Sporothrix_schenckii_1099	2	1	0.00480749	None	None	IPR022190	Family Protein of unknown function DUF3716	PF12511	Protein of unknown function (DUF3716) 
OG0000844	Sporothrix_brasiliensis_5110	2	1	0.00480749	None	None	None	None	None	None
OG0000863	Sporothrix_schenckii_1099	2	1	0.00480749	GO:0016020	membrane 	IPR002657	Family Bile acid:sodium symporter/arsenical resistance protein Acr3	PF01758	Sodium Bile acid symporter family
OG0002344	Sporothrix_schenckii_1099	2	1	0.00480749	GO:0004672;GO:0006468	protein kinase activity ;protein phosphorylation 	IPR001245	Domain Serine-threonine/tyrosine-protein kinase, catalytic domain	PF07714	Protein tyrosine and serine/threonine kinase
OG0005501	Sporothrix_brasiliensis_5110	2	1	0.00480749	None	None	IPR031352	Domain NACHT-NTPase and P-loop NTPases, N-terminal domain	PF17107	N-terminal domain on NACHT_NTPase and P-loop NTPases
OG0005542	Sporothrix_brasiliensis_5110	2	1	0.00480749	None	None	IPR003615	Domain HNH nuclease	PF13391	HNH endonuclease
OG0006026	Sporothrix_brasiliensis_5110	2	1	0.00480749	GO:0004386	helicase activity 	IPR046439;IPR041679;IPR041677	Domain Zinc finger, RZ-type;Domain DNA2/NAM7 helicase-like, C-terminal;Domain DNA2/NAM7 helicase, helicase domain	PF20173;PF13087;PF13086	RZ type zinc finger domain;AAA domain;AAA domain
OG0006285	Sporothrix_brasiliensis_5110	2	1	0.00480749	None	None	None	None	None	None
OG0006319	Sporothrix_schenckii_1099	2	1	0.00480749	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0006767	Sporothrix_schenckii_1099	2	1	0.00480749	GO:0016787	hydrolase activity 	IPR004843	Domain Calcineurin-like phosphoesterase domain, ApaH type	PF00149	Calcineurin-like phosphoesterase
OG0006856	Sporothrix_schenckii_1099	2	1	0.00480749	None	None	None	None	None	None
OG0007126	Sporothrix_brasiliensis_5110	2	1	0.00480749	None	None	None	None	None	None
OG0007393	Sporothrix_brasiliensis_5110	2	1	0.00480749	GO:0050660	flavin adenine dinucleotide binding 	IPR006094	Domain FAD linked oxidase, N-terminal	PF01565	FAD binding domain 
OG0007394	Sporothrix_schenckii_1099	2	1	0.00480749	GO:0016846	carbon-sulfur lyase activity 	IPR006913	Domain CENP-V/GFA domain	PF04828	Glutathione-dependent formaldehyde-activating enzyme
OG0007473	Sporothrix_schenckii_1099	2	1	0.00480749	None	None	IPR001148	Domain Alpha carbonic anhydrase domain	PF00194	Eukaryotic-type carbonic anhydrase
OG0007763	Sporothrix_brasiliensis_5110	2	1	0.00480749	None	None	None	None	None	None
OG0007809	Sporothrix_brasiliensis_5110	2	1	0.00480749	None	None	IPR021858	Family Fungal transcription factor	PF11951	Fungal specific transcription factor domain
OG0007958	Sporothrix_brasiliensis_5110	2	1	0.00480749	None	None	IPR011118	Family Tannase/feruloyl esterase	PF07519	Tannase and feruloyl esterase
OG0008005	Sporothrix_brasiliensis_5110	2	1	0.00480749	GO:0005975	carbohydrate metabolic process 	IPR001223	Domain Glycoside hydrolase family 18, catalytic domain	PF00704	Glycosyl hydrolases family 18
OG0008092	Sporothrix_brasiliensis_5110	2	1	0.00480749	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0008310	Sporothrix_brasiliensis_5110	2	1	0.00480749	None	None	None	None	None	None
OG0008479	Sporothrix_brasiliensis_5110	2	1	0.00480749	None	None	IPR002575	Domain Aminoglycoside phosphotransferase	PF01636	Phosphotransferase enzyme family
OG0008490	Sporothrix_brasiliensis_5110	2	1	0.00480749	None	None	None	None	None	None
OG0008728	Sporothrix_brasiliensis_5110	2	1	0.00480749	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0009397	Sporothrix_brasiliensis_5110	2	1	0.00480749	None	None	None	None	None	None
OG0009404	Sporothrix_brasiliensis_5110	2	1	0.00480749	GO:0006508;GO:0008234	proteolysis ;cysteine-type peptidase activity 	IPR003653	Domain Ulp1 protease family, C-terminal catalytic domain	PF02902	Ulp1 protease family, C-terminal catalytic domain
OG0000120	35	2	1	0.00536688	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000215	35	2	1	0.00536688	None	None	None	None	None	None
OG0000223	35	2	1	0.00536688	None	None	IPR007111	Domain NACHT nucleoside triphosphatase	PF05729	NACHT domain
OG0000250	35	2	1	0.00536688	GO:0016020	membrane 	IPR007568	Family RTA-like protein	PF04479	RTA1 like protein
OG0000258	35	2	1	0.00536688	GO:0050660;GO:0003824	flavin adenine dinucleotide binding ;catalytic activity 	IPR006094;IPR004113	Domain FAD linked oxidase, N-terminal;Domain FAD-binding oxidoreductase/transferase, type 4, C-terminal	PF01565;PF02913	FAD binding domain ;FAD linked oxidases, C-terminal domain
OG0000281	35	2	1	0.00536688	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000286	35	2	1	0.00536688	None	None	IPR000873;IPR025110	Domain AMP-dependent synthetase/ligase domain;Domain AMP-binding enzyme, C-terminal domain	PF00501;PF13193	AMP-binding enzyme;AMP-binding enzyme C-terminal domain
OG0000387	35	2	1	0.00536688	GO:0008270;GO:0003677;GO:0006351;GO:0000981;GO:0006355	zinc ion binding ;DNA binding ;DNA-templated transcription ;DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription 	IPR007219;IPR001138	Domain Transcription factor domain, fungi;Domain Zn(2)Cys(6) fungal-type DNA-binding domain	PF04082;PF00172	Fungal specific transcription factor domain ;Fungal Zn(2)-Cys(6) binuclear cluster domain
OG0000427	35	2	1	0.00536688	None	None	IPR015168	Domain SsuA/THI5-like	PF09084	NMT1/THI5 like
OG0000808	35	2	1	0.00536688	None	None	IPR013149;IPR013154	Domain Alcohol dehydrogenase-like, C-terminal;Domain Alcohol dehydrogenase-like, N-terminal	PF00107;PF08240	Zinc-binding dehydrogenase;Alcohol dehydrogenase GroES-like domain
OG0003362	35	2	1	0.00536688	None	None	None	None	None	None
OG0008093	35	2	1	0.00536688	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000029	36	2	1	0.00675967	None	None	None	None	None	None
OG0000062	36	2	1	0.00675967	GO:0003824;GO:0004334;GO:0009072	catalytic activity ;fumarylacetoacetase activity ;aromatic amino acid metabolic process 	IPR015377;IPR011234	Domain Fumarylacetoacetase, N-terminal;Domain Fumarylacetoacetase-like, C-terminal	PF09298;PF01557	Fumarylacetoacetase N-terminal;Fumarylacetoacetate (FAA) hydrolase family
OG0000123	36	2	1	0.00675967	GO:0005975	carbohydrate metabolic process 	IPR006047	Domain Glycosyl hydrolase, family 13, catalytic domain	PF00128	Alpha amylase, catalytic domain
OG0000199	36	2	1	0.00675967	GO:0004553;GO:0005975	hydrolase activity, hydrolyzing O-glycosyl compounds ;carbohydrate metabolic process 	IPR002772;IPR001764;IPR026891	Domain Glycoside hydrolase family 3 C-terminal domain;Domain Glycoside hydrolase, family 3, N-terminal;Domain Fibronectin type III-like domain	PF01915;PF00933;PF14310	Glycosyl hydrolase family 3 C-terminal domain;Glycosyl hydrolase family 3 N terminal domain;Fibronectin type III-like domain
OG0000289	36	2	1	0.00675967	GO:0003677;GO:0006351;GO:0008270	DNA binding ;DNA-templated transcription ;zinc ion binding 	IPR007219	Domain Transcription factor domain, fungi	PF04082	Fungal specific transcription factor domain 
OG0000502	36	2	1	0.00675967	None	None	None	None	None	None
OG0000842	36	2	1	0.00675967	GO:0003824	catalytic activity 	IPR000873;IPR009081;IPR001242	Domain AMP-dependent synthetase/ligase domain;Domain Phosphopantetheine binding ACP domain;Domain Condensation domain	PF00501;PF00550;PF00668	AMP-binding enzyme;Phosphopantetheine attachment site;Condensation domain
OG0006314	36	2	1	0.00675967	None	None	None	None	None	None
OG0006454	36	2	1	0.00675967	None	None	None	None	None	None
OG0008086	36	2	1	0.00675967	None	None	None	None	None	None
OG0000008	Sporothrix_schenckii_1099	3	1	0.00961501	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000031	Sporothrix_brasiliensis_5110	3	1	0.00961501	None	None	None	None	None	None
OG0000091	Sporothrix_brasiliensis_5110	3	1	0.00961501	None	None	IPR002575	Domain Aminoglycoside phosphotransferase	PF01636	Phosphotransferase enzyme family
OG0000098	Sporothrix_brasiliensis_5110	3	1	0.00961501	None	None	None	None	None	None
OG0000103	Sporothrix_schenckii_1099	3	1	0.00961501	None	None	None	None	None	None
OG0000120	Sporothrix_brasiliensis_5110	3	1	0.00961501	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000178	Sporothrix_brasiliensis_5110	3	1	0.00961501	GO:0016787	hydrolase activity 	IPR003140	Domain Phospholipase/carboxylesterase/thioesterase	PF02230	Phospholipase/Carboxylesterase
OG0000181	Sporothrix_brasiliensis_5110	3	1	0.00961501	None	None	IPR002575	Domain Aminoglycoside phosphotransferase	PF01636	Phosphotransferase enzyme family
OG0000273	Sporothrix_brasiliensis_5110	3	1	0.00961501	None	None	None	None	None	None
OG0000281	Sporothrix_schenckii_1099	3	1	0.00961501	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000289	Sporothrix_brasiliensis_5110	3	1	0.00961501	GO:0003677;GO:0006351;GO:0008270	DNA binding ;DNA-templated transcription ;zinc ion binding 	IPR007219	Domain Transcription factor domain, fungi	PF04082	Fungal specific transcription factor domain 
OG0000329	Sporothrix_schenckii_1099	3	1	0.00961501	None	None	IPR002575	Domain Aminoglycoside phosphotransferase	PF01636	Phosphotransferase enzyme family
OG0006314	Sporothrix_brasiliensis_5110	3	1	0.00961501	None	None	None	None	None	None
OG0008086	Sporothrix_schenckii_1099	3	1	0.00961501	None	None	None	None	None	None
OG0008093	Sporothrix_brasiliensis_5110	3	1	0.00961501	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0008105	Sporothrix_brasiliensis_5110	3	1	0.00961501	GO:0004672;GO:0006468;GO:0005524	protein kinase activity ;protein phosphorylation ;ATP binding 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000078	35	3	1	0.0107338	GO:0016020	membrane 	IPR007568	Family RTA-like protein	PF04479	RTA1 like protein
OG0000012	34	5	2	0.0113686	None	None	None	None	None	None
OG0000017	34	5	2	0.0113686	GO:0004672;GO:0006468;GO:0005524	protein kinase activity ;protein phosphorylation ;ATP binding 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0000013	Sporothrix_globosa_CBS120340	2	1	0.0117064	None	None	IPR003615	Domain HNH nuclease	PF13391	HNH endonuclease
OG0000060	Sporothrix_globosa_CBS120340	2	1	0.0117064	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0000077	Sporothrix_globosa_CBS120340	2	1	0.0117064	GO:0016787	hydrolase activity 	IPR013094	Domain Alpha/beta hydrolase fold-3	PF07859	alpha/beta hydrolase fold
OG0000147	Sporothrix_globosa_CBS120340	2	1	0.0117064	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000152	Sporothrix_globosa_CBS120340	2	1	0.0117064	GO:0008484	sulfuric ester hydrolase activity 	IPR000917	Domain Sulfatase, N-terminal	PF00884	Sulfatase
OG0000193	Sporothrix_globosa_CBS120340	2	1	0.0117064	GO:0005975;GO:0016810	carbohydrate metabolic process ;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds 	IPR002509;IPR018959	Domain NodB homology domain;Domain Domain of unknown function DUF1989	PF01522;PF09347	Polysaccharide deacetylase;Domain of unknown function (DUF1989)
OG0000201	Sporothrix_globosa_CBS120340	2	1	0.0117064	None	None	None	None	None	None
OG0000218	Sporothrix_globosa_CBS120340	2	1	0.0117064	None	None	IPR024535	Domain Rhamnogalacturonase A/B/Epimerase-like, pectate lyase domain	PF12708	Pectate lyase superfamily protein
OG0000230	Sporothrix_globosa_CBS120340	2	1	0.0117064	GO:0004499;GO:0050660;GO:0050661	N,N-dimethylaniline monooxygenase activity ;flavin adenine dinucleotide binding ;NADP binding 	IPR020946	Family Flavin monooxygenase-like	PF13738;PF00743	Pyridine nucleotide-disulphide oxidoreductase;Flavin-binding monooxygenase-like
OG0000244	Sporothrix_globosa_CBS120340	2	1	0.0117064	None	None	IPR021833	Family Protein of unknown function DUF3425	PF11905	Domain of unknown function (DUF3425)
OG0000252	Sporothrix_globosa_CBS120340	2	1	0.0117064	None	None	IPR044862	Domain Prolyl 4-hydroxylase alpha subunit, Fe(2+) 2OG dioxygenase domain	PF13640	2OG-Fe(II) oxygenase superfamily
OG0000255	Sporothrix_globosa_CBS120340	2	1	0.0117064	None	None	IPR005532;IPR024775;IPR019257	Domain Sulfatase-modifying factor enzyme;Domain DinB-like domain;Domain Histidine-specific methyltransferase, SAM-dependent	PF03781;PF12867;PF10017	Sulfatase-modifying factor enzyme 1;DinB superfamily;Histidine-specific methyltransferase, SAM-dependent
OG0000270	Sporothrix_globosa_CBS120340	2	1	0.0117064	GO:0004497;GO:0005506;GO:0016705;GO:0020037	monooxygenase activity ;iron ion binding ;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ;heme binding 	IPR001128	Family Cytochrome P450	PF00067	Cytochrome P450
OG0000311	Sporothrix_globosa_CBS120340	2	1	0.0117064	None	None	None	None	PF13561	Enoyl-(Acyl carrier protein) reductase
OG0000312	Sporothrix_globosa_CBS120340	2	1	0.0117064	None	None	IPR035396	Domain Alpha-L-rhamnosidase, six-hairpin glycosidase domain	PF17389	Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain
OG0000366	Sporothrix_globosa_CBS120340	2	1	0.0117064	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0000863	Sporothrix_globosa_CBS120340	2	1	0.0117064	GO:0016020	membrane 	IPR002657	Family Bile acid:sodium symporter/arsenical resistance protein Acr3	PF01758	Sodium Bile acid symporter family
OG0001390	Sporothrix_globosa_CBS120340	2	1	0.0117064	None	None	IPR041698	Domain Methyltransferase domain 25	PF13649	Methyltransferase domain
OG0005335	Sporothrix_globosa_CBS120340	2	1	0.0117064	None	None	None	None	None	None
OG0005904	Sporothrix_globosa_CBS120340	2	1	0.0117064	None	None	None	None	None	None
